GenSymbol	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12
Lipc	6.852797893	7.307127932	7.065206077	7.479618608	7.111198281	7.255651793	7.062056934	7.281151109	7.279954094	7.423368071	7.31446089	7.38556046	6.641243991	6.619002095	6.503510934	6.492053457	6.674474776	6.54057444	6.521876783	6.516889768	6.380351966	6.52256427	6.68851609	6.615917963
Lipo1	0.452743017	-0.361553544	-0.334065183	0.346452035	0.171334947	0.171334947	0.169476093	0.228787913	0.809710773	0.269607716	-0.091860379	0.056389306	-1.019360451	-0.650933711	-1.500066884	-0.425530294	-0.661343974	-1.147748613	-0.263550983	-0.588335133	-0.512491012	-1.6898507	-1.495955275	-1.608417027
Lipt2	2.010178292	0.991150836	1.983885603	1.1430603	1.287933222	0.852462343	1.524204126	1.237612664	1.527210493	2.539890832	2.651924222	2.709350195	0.778906621	0.045484909	0.883378392	1.143661164	0.874875638	0.853851969	0.28978726	0.667683254	0.505169402	1.578286637	1.896756218	1.4060468
Lix1	-3.162402239	-3.410132221	-4.17373586	-3.76332934	-3.96085599	-3.469742239	-3.57759647	-3.71397053	-3.839296619	-3.182668176	-4.208502294	-3.324566309	-4.851463074	-3.877106273	-3.857956253	-4.341256378	-5.520852236	-4.656258819	-4.026141605	-4.842163608	-5.217854499	-4.171191667	-3.645333905	-3.299226503
Llgl2	2.728438643	1.974496273	2.038516953	2.546558666	2.457565401	2.95108045	2.052165453	2.006111278	2.242004879	2.535582704	2.432451703	2.271046127	2.450865483	2.434654913	1.974720191	2.027667186	2.091317321	2.060818691	2.051107554	2.153688619	2.018997295	1.363742994	1.522708632	1.824193512
Lman2l	3.021348244	2.509769305	2.612840785	2.603240586	2.99808355	3.351727257	2.186690707	2.325915958	2.330521113	2.406275427	2.43025583	2.275805674	2.660709609	2.445483056	2.101061718	1.835228827	2.223314421	2.302912679	2.171882532	2.498490871	2.299534809	1.860251701	2.199172909	1.982874961
Lmbr1l	1.902501982	1.580246807	1.692596812	1.13738548	1.542535417	1.550935131	2.045250738	2.053809918	2.272901084	2.106646477	2.195712951	2.209649871	1.42377715	1.182876595	1.455270662	0.981662716	1.025865102	0.909511994	1.564368412	1.760140026	1.692855658	2.087092785	1.993261328	2.113410464
Lmf2	2.88792683	2.751988515	3.156998423	3.130825464	2.995336171	3.379426889	3.121327122	2.756071095	3.234600951	2.811734062	3.148138532	2.785458484	2.802704016	2.782041554	2.64253061	2.349625709	2.28136591	2.591337131	2.879178381	3.165181968	3.234105797	2.611996205	2.332745164	2.666033927
Lmnb1	0.840209418	0.097826511	0.200755432	0.586327606	0.538776524	0.169732629	0.532287033	1.311468239	0.868433916	1.088670805	0.903932926	1.222872553	0.576541487	0.369304547	-0.161312802	-0.078208752	0.475095262	-0.139464613	0.245288766	0.566678792	0.339376864	-0.070540747	0.387880847	0.398919455
Lmo7	0.920895409	0.722194947	0.787516048	0.758610192	1.150130703	1.008336287	1.31583863	1.598470021	1.513960619	1.59587121	1.508666969	1.602613655	0.91274949	0.847948816	0.265808924	0.124553125	0.757475618	0.171668006	0.837499267	1.220614751	1.148289871	0.409830806	0.956183069	0.593258146
Lmod3	-3.023445728	-1.53336766	-1.318192748	-1.627368784	-1.437846003	-1.256572928	-2.581112761	-3.231914788	-2.827010765	-1.982950385	-0.809016059	-1.070315031	-3.879321068	-2.500552575	-5.22065454	-3.917923123	-2.201669063	-4.62383055	-3.347508916	-3.686279559	-4.681455238	-2.280166453	-3.535828607	-2.849336349
Lnx1	-1.388608517	-2.316786845	-1.928374606	-2.478892964	-1.34211126	-1.484364241	-1.746151078	-1.000626266	-0.716099557	-0.587231479	-0.63473748	-0.478247691	-2.460179128	-2.17021862	-3.447574922	-2.616560566	-2.62045001	-2.793726874	-2.718815723	-1.578193411	-1.927040843	-1.426768975	-2.221481887	-1.620525422
Lonp2	7.083192089	6.873370284	7.164595231	7.084042998	6.975148657	7.195357442	7.026600901	7.032706983	6.777064587	6.653719286	6.713489622	6.493825034	7.308047731	7.031417253	7.120507466	7.28744459	7.340384235	7.266158738	7.410095139	7.548475158	7.381015092	6.636369408	6.857520752	6.902121829
Lonrf3	-1.421492107	-1.307479958	-1.591101226	-0.841161478	-1.129601347	-0.099894846	-1.110087291	-1.248858532	-1.087120242	-0.67593599	-0.572852988	-0.435134105	-0.759277804	-0.36554427	-1.564738393	-1.371937548	-0.60580198	-0.515383371	-2.958342075	-2.954557029	-2.627787821	-2.589806538	-1.841425129	-2.580249708
Loxl3	-1.985250519	-2.016652102	-1.86281128	-2.038729332	-2.280348663	-2.072519163	-1.500871016	-1.755853349	-2.463724245	-1.762862178	-1.608311455	-1.292927613	-2.851333966	-2.565459838	-2.553129763	-2.672864529	-2.405520243	-2.629402697	-2.414522068	-2.256018068	-1.786213521	-2.204106739	-2.440412255	-2.563897874
Loxl4	-0.375655752	-1.257624644	-2.511600164	-0.347228092	-1.066197757	0.492294173	-2.565058516	-2.404374131	-2.785238559	-3.106821099	-3.393029496	-3.94488655	-1.646916143	-1.429265071	-2.08500082	-2.515810299	-1.744105336	-1.585418464	-3.376564607	-2.764464087	-3.212019315	-4.579952938	-4.058742214	-5.024781295
Lpcat2	-0.668446111	-0.824959625	-1.943793841	-1.040844141	-1.5335723	-0.938508568	-0.286731779	-0.582656754	-1.278436598	-1.468431391	-1.423564934	-1.672124121	-2.101245249	-1.521535492	-3.071536438	-2.228827707	-3.276680852	-2.69490966	-1.237703918	-1.457716192	-1.60502936	-2.682427333	-2.759522022	-2.631251762
Lpcat4	-1.699756764	-2.486480957	-1.796255077	-2.036206299	-2.143111489	-1.298147577	-1.04297989	-2.54182801	-2.215150984	-2.177659789	-1.445067398	-2.239470744	-3.203887379	-2.620467754	-3.048877762	-2.69591891	-2.664580774	-3.068967531	-2.163209761	-2.082884507	-2.105808527	-2.272248541	-2.819709532	-2.956313937
Lphn1	-1.775208929	-0.909718342	-0.576682156	-1.748030105	-1.364477759	-1.089061692	-0.742714149	-1.726854156	-1.438737414	-1.29341552	-0.773321316	-0.647358974	-1.922259323	-2.121856954	-1.406281	-3.029040356	-1.645769028	-1.790309584	-2.367024572	-1.84407465	-1.559996094	-1.445688172	-1.629143838	-1.467489531
Lpl	1.900057223	1.994992381	1.496298717	1.652018332	1.478039898	2.209272433	2.543503307	2.145915439	1.469213951	2.595310302	2.19486872	2.348235252	2.184356474	3.2322417	2.701118735	2.153532981	2.030844552	2.605740846	1.900474631	1.943940075	1.504544125	4.758708252	4.670636423	4.436581631
Lpp	1.608936951	2.06599272	1.96864007	1.778570256	2.188951563	2.024011105	2.188654118	2.259739498	2.059209893	2.120932485	2.085907287	2.27551667	1.859178432	1.916820557	1.560186685	0.631113598	1.904322237	1.599774813	1.238022518	1.767959829	1.512995445	1.474301048	1.25728223	1.362453056
Lpxn	0.306495572	-0.618286929	-1.364147188	-0.698002721	-1.101752944	-0.536988647	-0.02148218	0.019701914	-0.980409094	-0.659234942	-0.616213329	-0.716675574	-1.413991444	-1.296282653	-1.718454854	-1.415911075	-1.866157694	-1.490967013	-0.6901556	-0.75909711	-1.56226943	-1.76843488	-1.373955293	-1.650575838
Lrfn4	-3.702015569	-2.567519433	-2.287057398	-4.665305423	-2.938995289	-2.335167678	-2.121323305	-2.727312667	-1.934824777	-2.658865893	-3.010657503	-2.225686486	-3.702977196	-4.22718126	-4.06840589	-5.050956694	-3.891951201	-3.645333905	-4.248708367	-3.05198532	-3.353698703	-3.288149199	-2.945737748	-3.049235985
Lrmp	-0.520935037	-1.371889007	-1.717268423	-1.125399734	-1.186150279	-0.766811375	-0.325103713	-0.488475286	-1.111021848	-0.954324986	-1.130157014	-1.664882667	-2.179357815	-1.722243722	-2.393485757	-1.739584056	-2.079075635	-1.753497054	-1.368301529	-1.135830103	-1.161230522	-2.998534966	-2.46863501	-1.819073065
Lrp1	4.801722584	4.413418067	4.487319123	4.720612282	4.924047613	5.029576565	4.570851483	4.768242561	4.851579156	4.601185422	4.760747886	4.676921799	4.725484873	4.642949893	4.150795233	3.747226256	4.064943192	4.409180457	4.388423767	4.899001568	4.674556692	4.077106244	4.012130614	4.377790095
Lrp2bp	-0.896562789	-0.736381421	-0.297482522	-0.737066586	-0.009655011	0.069014678	-1.359512335	-0.889559245	-0.895180286	0.751446582	0.33822472	0.289834465	-1.330701054	-1.789257052	-1.637006151	-1.704093638	-0.677317284	-1.060990125	-1.906045063	-2.05509359	-2.588061851	-0.486921656	-1.538023091	-1.339622616
Lrp2	-6.747511481	-5.851525549	-7.07819078	-6.000083102	-5.981896858	-6.244455377	-5.780932739	-8.908902538	-8.856885194	-5.679110096	-6.346864387	-5.819446764	-2.996806525	-4.491822079	-4.008823907	-5.002504383	-4.138155769	-3.790257688	-4.87596414	-4.434452734	-4.902402147	-4.910349995	-5.564522457	-5.957655999
Lrp4	0.682995707	-0.032412297	0.713625438	0.290695695	0.812752857	0.939820838	1.378117603	1.628106326	1.6296597	1.907067555	1.714544468	1.868769722	0.79694655	0.59508349	-0.210826653	-0.297294589	0.364482786	-0.015084052	0.26196401	0.813614983	0.636803243	0.912274294	0.855878103	0.733710089
Lrpap1	4.047599459	3.778124452	3.649580972	4.091615216	4.051111036	4.039138394	3.791553633	3.911403973	3.728214408	4.23117125	4.153318952	4.216144408	3.794291087	3.87897051	3.184807123	3.82700601	3.87026607	3.651660222	3.574634395	3.670749711	3.63197732	3.453069754	3.641811886	3.480601195
Lrrc15	-4.694388491	-5.067740434	-4.952045125	-5.398330104	-4.453687006	-3.924339774	-4.779565036	-5.547965517	-4.827035335	-4.325866252	-4.399657162	-4.600210717	-2.869870411	-2.827000527	-3.874073874	-3.433122903	-3.447030429	-3.704815839	-4.949970072	-4.215885367	-4.800000948	-3.76100971	-3.022120773	-4.062403704
Lrrc16a	1.047880351	0.287826867	0.986825935	0.644936076	1.805680424	0.390502608	0.380651882	-0.472763479	-0.154427254	0.219599135	-0.078036656	0.159319173	1.970220496	2.133678595	1.333669887	1.179689386	1.88953195	1.714034457	1.0931883	1.361313586	1.427793872	1.110770802	1.349970992	1.442757758
Lrrc18	-2.542096874	-2.965705389	-2.622580799	-2.366228442	-2.812475467	-2.224964634	-2.610671087	-2.646870963	-2.143181589	-1.2245971	-1.05709745	-1.119134272	-2.837955	-2.750659034	-3.800597894	-3.533634951	-3.433076155	-3.341168652	-4.178876941	-3.358303051	-3.929870106	-2.680761285	-3.09619661	-3.251648691
Lrrc25	1.440670539	-0.059712952	-0.204513973	0.729017574	0.002075987	0.906259519	1.568168339	1.126338565	0.270923574	0.285863807	0.399838271	0.198720441	-1.167374049	-0.204292889	-0.836367309	-0.862110935	-1.495349102	-1.437181712	0.561370132	0.714109211	-0.821926628	-1.164147052	-1.470728756	-1.436712985
Lrrc32	0.973155712	0.952557223	1.194553583	0.936681278	0.437515397	1.598598648	1.29944396	0.69141803	1.005428734	1.050306655	1.208735739	1.128887252	-0.212724686	0.620004523	0.265736926	-0.033755604	0.123666196	0.093465526	0.506236322	0.99469557	0.954278216	0.815378684	0.78383378	0.966674095
Lrrc33	0.33509446	-0.407964501	-0.512775047	-0.463744142	-0.575365942	-0.113253215	0.059839787	-0.425745388	-0.447809857	0.068794612	0.006017897	-0.203025218	-1.038427047	-0.990627027	-1.154782155	-1.237720929	-1.459429094	-0.98059982	-0.775473145	-0.323512322	-1.190259597	-0.910710675	-0.733576839	-0.638355145
Lrrc48	-4.118746989	-4.767926755	-3.871026726	-4.440398159	-3.960173208	-3.731464999	-2.43072669	-2.233582934	-3.443687722	-5.240484837	-3.284686459	-3.503121699	-4.807265478	-5.937878288	-5.708977409	-5.299442385	-4.663260507	-3.886096844	-4.157278242	-3.878590913	-4.220065597	-4.894077382	-4.732463723	-4.294258786
Lrrc4c	-1.648172692	-1.571784699	-1.483795196	-1.536524017	-2.093989909	-1.420769638	-1.927156058	-2.914640613	-2.516553084	-1.090461893	-1.089089314	-1.044103986	-2.269964418	-2.156845844	-2.279654984	-2.241802587	-1.743380592	-1.735787874	-2.444128886	-2.332033415	-2.864081688	-2.219874712	-2.497388322	-2.650353911
Lrrc61	1.243662988	1.314394906	1.313158765	1.043407503	1.407059015	1.651779602	1.112072883	1.471317544	1.560631814	1.647655282	1.763590041	1.745069492	1.175990787	1.09144935	0.701602284	0.234930448	0.601392259	0.787658129	0.414633488	0.996793657	0.83832253	0.890423345	1.069640306	1.210345221
Lrrc8e	-4.323596815	-4.388648557	-4.344303798	-3.570349545	-4.267860377	-4.717416437	-3.576707976	-4.451829349	-4.342991535	-4.145204487	-3.956204207	-3.953014506	-5.842887974	-4.888588294	-4.452381973	-5.501959143	-5.586967508	-4.292001751	-5.121750208	-4.650047799	-5.088771382	-4.174384332	-4.498260245	-4.779125267
